iter	Logloss
0	0.6919727971
1	0.6912840012
2	0.6906784855
3	0.6896766217
4	0.6889689226
5	0.6878818049
6	0.6868512202
7	0.6861735083
8	0.6850010842
9	0.6840865237
10	0.6831289748
11	0.6821829355
12	0.6809389452
13	0.6799041272
14	0.6790282087
15	0.6781739493
16	0.6774031766
17	0.6764462801
18	0.6755446135
19	0.6744380836
20	0.6734834103
21	0.6724679659
22	0.6720013626
23	0.6712266514
24	0.6702428053
25	0.6689799846
26	0.6678979647
27	0.6666348105
28	0.6654293219
29	0.6644555398
30	0.6635081718
31	0.6627089881
32	0.6621568396
33	0.6612827614
34	0.6605815209
35	0.6597096713
36	0.6589465477
37	0.6581575978
38	0.6573701201
39	0.6566324159
40	0.6559624204
41	0.6553406002
42	0.6544506425
43	0.6537816978
44	0.6532478008
45	0.6527587418
46	0.652022547
47	0.6509915244
48	0.6500165598
49	0.649281808
50	0.6484552154
51	0.6476464768
52	0.6467637816
53	0.6461383964
54	0.6455064791
55	0.6449522861
56	0.6441960713
57	0.6430926865
58	0.6421533273
59	0.6413811938
60	0.6407343263
61	0.639767493
62	0.6388356457
63	0.6378233779
64	0.6371913677
65	0.6367403162
66	0.6359655265
67	0.6352723416
68	0.6345981145
69	0.6339302873
70	0.6332143438
71	0.6325719735
72	0.6317097316
73	0.6309933345
74	0.6305262443
75	0.6298642887
76	0.6292719923
77	0.6284693619
78	0.6274830902
79	0.6264541088
80	0.6256232465
81	0.6247463283
82	0.624304866
83	0.6235941299
84	0.6228251564
85	0.6223977726
86	0.6217924713
87	0.620758511
88	0.6196988664
89	0.6190896609
90	0.618437363
91	0.6175466879
92	0.6170288849
93	0.616151027
94	0.6154343118
95	0.6150618392
96	0.6145466959
97	0.6136576815
98	0.612641851
99	0.6121169097
100	0.6113751438
101	0.6104726306
102	0.6097986427
103	0.6089741481
104	0.6081795507
105	0.6074932575
106	0.6070678869
107	0.6062935145
108	0.6058327499
109	0.6052046725
110	0.6046205384
111	0.604148465
112	0.6035622087
113	0.6025467087
114	0.6018137279
115	0.601106871
116	0.6003629651
117	0.5999763394
118	0.5993722267
119	0.5987740113
120	0.5980652838
121	0.5974952247
122	0.5968307681
123	0.596315325
124	0.5953246084
125	0.5945423742
126	0.5940041756
127	0.5935285805
128	0.5929706097
129	0.5925173167
130	0.5917682587
131	0.5911139236
132	0.5901742417
133	0.5897088333
134	0.5892132985
135	0.5888664355
136	0.5883169867
137	0.5875592225
138	0.5871493898
139	0.5867381207
140	0.5863698735
141	0.5856426765
142	0.5852989979
143	0.584810051
144	0.584309039
145	0.58365291
146	0.5829205031
147	0.5821974884
148	0.581523387
149	0.5807819352
150	0.5799893387
151	0.5792588659
152	0.5785448194
153	0.5780331353
154	0.5775532551
155	0.5771564152
156	0.5767596703
157	0.576461202
158	0.575814366
159	0.5753340139
160	0.5743970271
161	0.5738842309
162	0.5732974146
163	0.5725035646
164	0.5718638833
165	0.5710565519
166	0.5703821468
167	0.5697302658
168	0.5691595235
169	0.5685221556
170	0.5682322101
171	0.5677159762
172	0.5673012776
173	0.5666495149
174	0.5660729808
175	0.5655041316
176	0.5647901454
177	0.5640894305
178	0.5637063402
179	0.563436119
180	0.5633865017
181	0.5629675469
182	0.5622431636
183	0.5613932301
184	0.5610774798
185	0.5603823016
186	0.5596386501
187	0.5589960223
188	0.5584447245
189	0.5579235543
190	0.5575095843
191	0.5569873782
192	0.556461286
193	0.55564594
194	0.5554176093
195	0.5550429387
196	0.5546047564
197	0.5539869323
198	0.5532488227
199	0.5528615956
200	0.5524293811
201	0.5520493681
202	0.5515302984
203	0.5507710535
204	0.5503126219
205	0.549662007
206	0.5491085845
207	0.5486944562
208	0.5482585355
209	0.5477373768
210	0.5469175061
211	0.5466145029
212	0.5460870446
213	0.545488919
214	0.5451450296
215	0.5444457583
216	0.544106676
217	0.543827041
218	0.5434542784
219	0.5430162147
220	0.5423454635
221	0.5417571187
222	0.5410227122
223	0.5403669136
224	0.5398115105
225	0.539401685
226	0.5389836099
227	0.5386096876
228	0.5380131504
229	0.5375046287
230	0.5371405953
231	0.536467844
232	0.5359433791
233	0.5354831108
234	0.5350977598
235	0.5346205734
236	0.5343121203
237	0.5338238983
238	0.5335260842
239	0.5330651037
240	0.5327909419
241	0.532353568
242	0.5319770617
243	0.5314718513
244	0.5309526397
245	0.5304928409
246	0.5300406903
247	0.5294594138
248	0.5287934383
249	0.5283670506
250	0.5278480028
251	0.5272799541
252	0.5266764978
253	0.5258537433
254	0.5251726522
255	0.5248571036
256	0.5245969829
257	0.524208874
258	0.5238154334
259	0.5231693772
260	0.5227216525
261	0.5222939258
262	0.5217208834
263	0.5209840831
264	0.5204429282
265	0.5202086868
266	0.5198277831
267	0.5193383902
268	0.5190235473
269	0.5188013167
270	0.5182460391
271	0.5178395272
272	0.5174109026
273	0.5170647837
274	0.5166271666
275	0.5162618344
276	0.5158048504
277	0.5152118454
278	0.5148813082
279	0.5143368797
280	0.5137940574
281	0.5134099431
282	0.5129712725
283	0.5126927656
284	0.5122744546
285	0.5120859996
286	0.5117073983
287	0.5112911582
288	0.5111314469
289	0.5106003484
290	0.5103355755
291	0.5101085002
292	0.5096707096
293	0.5093170995
294	0.5090341638
295	0.5087598071
296	0.5083668896
297	0.507855095
298	0.5074739929
299	0.5069043668
300	0.5067217921
301	0.5059704955
302	0.5053510122
303	0.5048405864
304	0.504440074
305	0.504001136
306	0.5036237375
307	0.5033353931
308	0.5030956459
309	0.5027397218
310	0.5023235946
311	0.5018566788
312	0.5017721446
313	0.501137923
314	0.5007040833
315	0.5002567747
316	0.4998097111
317	0.499334232
318	0.4990704791
319	0.498669947
320	0.49800041
321	0.4975213776
322	0.4970517396
323	0.4968217834
324	0.4964317035
325	0.4958962502
326	0.4956106338
327	0.4950376669
328	0.4947270289
329	0.4944924559
330	0.4942645582
331	0.4940119616
332	0.4938078573
333	0.4934011435
334	0.4930830145
335	0.4928069165
336	0.492248222
337	0.4921047605
338	0.4919196531
339	0.4914072929
340	0.4907839514
341	0.4905352692
342	0.4901321261
343	0.4898239142
344	0.4893957376
345	0.4890990985
346	0.4889763656
