iter	Passed	Remaining
0	136	136083
1	137	68629
2	138	46163
3	140	34952
4	142	28260
5	144	23918
6	146	20734
7	147	18315
8	149	16504
9	151	15008
10	153	13788
11	154	12758
12	156	11882
13	158	11149
14	159	10480
15	161	9918
16	163	9441
17	164	8999
18	166	8586
19	167	8216
20	169	7879
21	170	7574
22	171	7292
23	173	7054
24	174	6814
25	176	6597
26	178	6417
27	179	6245
28	183	6133
29	186	6015
30	187	5866
31	189	5723
32	190	5582
33	192	5472
34	193	5346
35	196	5249
36	197	5136
37	198	5033
38	200	4937
39	201	4842
40	203	4767
41	205	4692
42	207	4616
43	209	4557
44	211	4493
45	213	4433
46	215	4361
47	216	4291
48	217	4223
49	218	4157
50	220	4104
51	223	4072
52	225	4024
53	227	3980
54	228	3926
55	230	3878
56	231	3827
57	232	3778
58	234	3737
59	236	3699
60	238	3672
61	240	3635
62	241	3595
63	243	3556
64	244	3519
65	246	3482
66	248	3454
67	249	3421
68	250	3386
69	252	3350
70	253	3319
71	254	3286
72	256	3251
73	257	3219
74	258	3187
75	259	3158
76	260	3128
77	262	3107
78	264	3087
79	266	3063
80	267	3040
81	269	3017
82	270	2993
83	272	2970
84	273	2948
85	275	2925
86	277	2911
87	278	2888
88	280	2866
89	281	2844
90	282	2821
91	283	2800
92	284	2779
93	286	2757
94	287	2735
95	288	2714
96	289	2695
97	290	2676
98	291	2656
99	293	2637
100	294	2619
101	295	2602
102	296	2585
103	298	2568
104	299	2552
105	300	2537
106	302	2522
107	303	2510
108	305	2494
109	306	2479
110	307	2464
111	308	2449
112	310	2433
113	311	2418
114	312	2403
115	313	2388
116	314	2374
117	315	2360
118	316	2346
119	318	2335
120	319	2322
121	320	2309
122	322	2297
123	323	2284
124	324	2272
125	325	2259
126	327	2247
127	328	2236
128	329	2223
129	330	2212
130	332	2203
131	333	2192
132	334	2181
133	335	2170
134	337	2159
135	338	2149
136	339	2138
137	340	2129
138	342	2123
139	344	2114
140	345	2104
141	349	2112
142	351	2106
143	353	2100
144	354	2091
145	356	2083
146	357	2075
147	358	2066
148	361	2061
149	363	2060
150	365	2054
151	367	2052
152	369	2043
153	370	2035
154	371	2026
155	372	2017
156	375	2014
157	377	2013
158	379	2007
159	381	2000
160	382	1994
161	384	1986
162	385	1979
163	387	1973
164	389	1969
165	390	1961
166	391	1953
167	392	1945
168	394	1938
169	395	1931
170	396	1923
171	398	1917
172	399	1911
173	401	1904
174	403	1900
175	405	1897
176	406	1891
177	409	1888
178	410	1883
179	412	1877
180	413	1870
181	414	1864
