FIPS,car_sum,property_value_median
12011110403,42,222100.0
12011060114,22,265900.0
12011060120,11,351000.0
12011040902,38,166700.0
12011010601,4,520100.0
12011060206,30,112300.0
12011070405,23,359900.0
12011110321,10,390900.0
12011020405,38,163200.0
12011042700,29,366300.0
12011030902,33,471100.0
12011043100,31,285400.0
12011050900,24,332000.0
12071000504,8,60700.0
12071010601,19,214300.0
12071010602,26,177400.0
12085001409,11,262300.0
12085001602,3,920200.0
12085000606,2,379400.0
12115002724,1,125200.0
12115000407,11,130200.0
12011060121,7,564500.0
12015020103,7,231000.0
12015021001,3,193100.0
12055980200,2,96120.0
12055961301,2,200700.0
12103027703,2,445000.0
12103028103,20,179700.0
12103028104,8,195000.0
12103024408,28,170400.0
12086000710,41,24000.0
12086009315,37,124600.0
12086001605,45,121500.0
12086009030,19,168000.0
12086009024,18,162300.0
12086009039,4,357400.0
12086008906,23,324800.0
12091021502,11,275100.0
12091021200,1,223900.0
12091021002,7,301600.0
12091022001,28,158400.0
12115002008,5,334800.0
12105010502,14,260700.0
12105015701,3,87000.0
12071010801,7,350900.0
12071010802,14,299300.0
12071010803,9,401100.0
12055960602,5,115000.0
12055960501,1,50600.0
12086011900,9,259600.0
12086011800,21,308300.0
12055960102,1,114500.0
12055960601,13,86100.0
12097042702,12,161600.0
12095014503,9,55900.0
12095016728,18,238100.0
12086009020,44,158700.0
12086009029,26,193200.0
12086009031,35,165100.0
12086009028,7,209000.0
12086009314,44,131100.0
12086002502,41,199200.0
12086002404,34,252800.0
12086002403,42,200000.0
12086005102,28,273600.0
12021010508,3,258200.0
12105010604,8,144200.0
12105011834,8,196700.0
12105010603,9,204100.0
12105011204,11,97300.0
12015010302,7,104300.0
12063210700,1,172300.0
12063210100,1,102200.0
12015030301,2,281100.0
12053041302,7,123600.0
12053041305,3,148800.0
12091023303,6,395900.0
12057012212,8,216100.0
12057013801,4,98400.0
12057006103,18,457000.0
12057011013,5,236500.0
12057011520,4,509600.0
12091023308,14,473300.0
12103027321,6,345500.0
12103027801,10,393900.0
12095017013,22,177400.0
12101030203,4,36300.0
12101031902,6,235700.0
12101030202,12,180300.0
12086005104,32,201700.0
12086005409,51,218500.0
12086002705,9,284100.0
12086005303,49,125000.0
12086003706,25,90540.0
12086003707,29,340000.0
12086006705,6,468500.0
12086006205,67,287000.0
12086006201,39,348300.0
12086006206,36,526900.0
12086006203,30,642900.0
12086005403,48,279400.0
12071001300,12,141000.0
12071001501,18,219000.0
12071001601,13,172000.0
12071001602,10,58100.0
12086005407,44,300000.0
12086006503,38,418300.0
12086006501,32,398300.0
12035060213,11,195200.0
12071001701,16,143000.0
12071020102,10,78200.0
12095014805,19,169400.0
12019030304,20,157300.0
12019030103,1,124400.0
12019030303,32,146800.0
12095016001,34,472100.0
12083002402,2,210600.0
12083002401,10,280400.0
12083001301,6,138600.0
12083002100,20,236900.0
12083001401,16,65100.0
12083002602,2,93300.0
12083001900,28,99100.0
12095014302,46,106600.0
12083001102,12,124800.0
12005001404,6,226600.0
12005000806,6,180500.0
12005000805,22,145600.0
12005000803,18,116700.0
12095014806,18,278000.0
12095014810,12,365900.0
12057001001,20,128500.0
12057011708,12,538800.0
12057014121,4,225800.0
12057014104,1,32200.0
12073002512,3,278600.0
12101031206,3,95100.0
12113010708,8,154600.0
12117021306,5,278100.0
12117021100,3,169900.0
12117022101,21,105000.0
12095014502,10,57900.0
12073002006,21,158700.0
12073001300,14,123980.0
12073001402,14,103500.0
12095014813,13,319600.0
12073000904,16,143000.0
12095016002,9,848400.0
12071010306,13,211900.0
12071030300,2,315600.0
12071000401,8,144900.0
12095016406,18,121300.0
12071020400,6,228000.0
12071020501,11,46300.0
12095014904,14,178500.0
12005002604,21,205400.0
12005002608,2,351000.0
12005002400,5,119800.0
12071020502,10,107400.0
12071020600,9,129700.0
12095016301,11,186900.0
12005002300,17,126500.0
12057011614,32,122700.0
12103024804,24,185700.0
12103025417,14,66300.0
12103025505,26,75800.0
12103026101,8,232000.0
12103026912,18,87000.0
12103027210,9,186500.0
12103024512,17,159100.0
12103024805,20,166200.0
12113010812,3,299400.0
12086004106,12,1081100.0
12086000411,32,171600.0
12086009026,41,154400.0
12086000126,12,244800.0
12086005410,59,155200.0
12095016302,22,205200.0
12095016402,17,161800.0
12073000905,19,149900.0
12073002005,20,105440.0
12073002103,18,91900.0
12073002513,2,263400.0
12073001901,5,152800.0
12035060212,15,194500.0
12095015002,9,164700.0
12095015003,31,157100.0
12071000402,5,99500.0
12071000502,5,81200.0
12001000301,24,145000.0
12071020700,3,262000.0
12086010193,26,386100.0
12086010198,22,360900.0
12095014605,15,75700.0
12095015103,11,178600.0
12103027326,13,144800.0
12103027327,5,272200.0
12103028700,11,87600.0
12103020108,6,289600.0
12103020207,2,231200.0
12095015104,14,141000.0
12103025122,15,284200.0
12103025123,17,286300.0
12103025209,20,165500.0
12103025307,16,186000.0
12103025413,20,84000.0
12103025412,15,213700.0
12086007300,18,1104700.0
12086006801,25,920500.0
