FIPS,property_value_median,pickup_p,suv_p,sedan_p,other_p
12011110403,222100.0,7.1429,28.5714,40.4762,23.809500000000007
12011060114,265900.0,9.0909,40.9091,31.8182,18.181799999999992
12011060120,351000.0,0.0,36.3636,27.2727,36.3637
12011040902,166700.0,0.0,31.5789,42.1053,26.315799999999996
12011010601,520100.0,0.0,50.0,25.0,25.0
12011060206,112300.0,13.3333,16.6667,43.3333,26.6667
12011070405,359900.0,8.6957,39.1304,30.4348,21.739099999999997
12011110321,390900.0,0.0,20.0,70.0,10.0
12011020405,163200.0,15.7895,39.4737,21.0526,23.684199999999993
12011042700,366300.0,10.3448,24.1379,48.2759,17.241400000000006
12011030902,471100.0,21.2121,36.3636,30.303,12.121300000000009
12011043100,285400.0,0.0,25.8065,35.4839,38.7096
12011050900,332000.0,20.8333,12.5,37.5,29.16669999999999
12071000504,60700.0,12.5,25.0,37.5,25.0
12071010601,214300.0,15.7895,52.6316,26.3158,5.263099999999998
12071010602,177400.0,7.6923,46.1538,26.9231,19.2308
12085001409,262300.0,27.2727,36.3636,9.0909,27.272800000000004
12085001602,920200.0,0.0,33.3333,66.6667,0.0
12085000606,379400.0,0.0,0.0,100.0,0.0
12115002724,125200.0,0.0,0.0,0.0,100.0
12115000407,130200.0,27.2727,36.3636,27.2727,9.091000000000001
12011060121,564500.0,14.2857,28.5714,42.8571,14.285799999999995
12015020103,231000.0,14.2857,0.0,71.4286,14.285699999999991
12015021001,193100.0,66.6667,0.0,0.0,33.333299999999994
12055980200,96120.0,0.0,0.0,100.0,0.0
12055961301,200700.0,0.0,0.0,0.0,100.0
12103027703,445000.0,50.0,0.0,50.0,0.0
12103028103,179700.0,10.0,45.0,30.0,15.0
12103028104,195000.0,0.0,25.0,37.5,37.5
12103024408,170400.0,32.1429,10.7143,35.7143,21.4285
12086000710,24000.0,7.3171,24.3902,34.1463,34.1464
12086009315,124600.0,2.7027,18.9189,54.0541,24.3243
12086001605,121500.0,15.5556,28.8889,37.7778,17.777700000000003
12086009030,168000.0,0.0,47.3684,47.3684,5.263199999999998
12086009024,162300.0,0.0,16.6667,72.2222,11.111100000000008
12086009039,357400.0,0.0,50.0,0.0,50.0
12086008906,324800.0,8.6957,39.1304,30.4348,21.739099999999997
12091021502,275100.0,18.1818,45.4545,27.2727,9.091000000000001
12091021200,223900.0,0.0,100.0,0.0,0.0
12091021002,301600.0,0.0,42.8571,57.1429,0.0
12091022001,158400.0,7.1429,14.2857,53.5714,25.0
12115002008,334800.0,0.0,20.0,80.0,0.0
12105010502,260700.0,7.1429,42.8571,28.5714,21.4286
12105015701,87000.0,33.3333,0.0,33.3333,33.33339999999999
12071010801,350900.0,0.0,57.1429,14.2857,28.571400000000004
12071010802,299300.0,7.1429,42.8571,28.5714,21.4286
12071010803,401100.0,11.1111,33.3333,44.4444,11.111200000000004
12055960602,115000.0,20.0,0.0,20.0,60.0
12055960501,50600.0,0.0,100.0,0.0,0.0
12086011900,259600.0,11.1111,33.3333,44.4444,11.111200000000004
12086011800,308300.0,14.2857,33.3333,42.8571,9.52389999999999
12055960102,114500.0,0.0,100.0,0.0,0.0
12055960601,86100.0,15.3846,30.7692,30.7692,23.076999999999995
12097042702,161600.0,0.0,25.0,58.3333,16.6667
12095014503,55900.0,0.0,11.1111,55.5556,33.33330000000001
12095016728,238100.0,5.5556,27.7778,66.6667,0.0
12086009020,158700.0,11.3636,25.0,43.1818,20.454599999999992
12086009029,193200.0,7.6923,19.2308,53.8462,19.23069999999999
12086009031,165100.0,2.8571,14.2857,51.4286,31.42859999999999
12086009028,209000.0,0.0,28.5714,57.1429,14.285700000000006
12086009314,131100.0,9.0909,27.2727,50.0,13.636399999999995
12086002502,199200.0,9.7561,17.0732,48.7805,24.390199999999993
12086002404,252800.0,0.0,32.3529,50.0,17.647099999999995
12086002403,200000.0,9.5238,30.9524,40.4762,19.04760000000001
12086005102,273600.0,7.1429,35.7143,25.0,32.1428
12021010508,258200.0,0.0,0.0,0.0,100.0
12105010604,144200.0,12.5,12.5,37.5,37.5
12105011834,196700.0,25.0,25.0,37.5,12.5
12105010603,204100.0,0.0,33.3333,22.2222,44.44449999999999
12105011204,97300.0,0.0,36.3636,45.4545,18.1819
12015010302,104300.0,0.0,57.1429,42.8571,0.0
12063210700,172300.0,100.0,0.0,0.0,0.0
12063210100,102200.0,100.0,0.0,0.0,0.0
12015030301,281100.0,0.0,0.0,100.0,0.0
12053041302,123600.0,14.2857,14.2857,57.1429,14.285699999999991
12053041305,148800.0,0.0,0.0,33.3333,66.66669999999999
12091023303,395900.0,0.0,83.3333,16.6667,7.105427357601002e-15
12057012212,216100.0,0.0,25.0,37.5,37.5
12057013801,98400.0,0.0,50.0,0.0,50.0
12057006103,457000.0,5.5556,16.6667,50.0,27.77770000000001
12057011013,236500.0,0.0,40.0,40.0,20.0
12057011520,509600.0,25.0,50.0,25.0,0.0
12091023308,473300.0,7.1429,28.5714,28.5714,35.71430000000001
12103027321,345500.0,0.0,16.6667,33.3333,50.00000000000001
12103027801,393900.0,0.0,30.0,40.0,30.0
12095017013,177400.0,9.0909,22.7273,45.4545,22.727299999999993
