pop_total,sex_total,sex_male,sex_female,age_median,households,race_total,race_white,race_black,race_native,race_asian,inc_total_pop,inc_no_pop,inc_with_pop,inc_pop_10k,inc_pop_1k_15k,inc_pop_15k_25k,inc_pop_25k_35k,inc_pop_35k_50k,inc_pop_50k_65k,inc_pop_65k_75k,inc_pop_75k,inc_median_ind,travel_total_to_work,travel_driving_to_work,travel_pt_to_work,travel_taxi_to_work,travel_cycle_to_work,travel_walk_to_work,travel_work_from_home,edu_total_pop,bachelor_male_25_34,master_phd_male_25_34,bachelor_male_35_44,master_phd_male_35_44,bachelor_male_45_64,master_phd_male_45_64,bachelor_male_65_over,master_phd_male_65_over,bachelor_female_25_34,master_phd_female_25_34,bachelor_female_35_44,master_phd_female_35_44,bachelor_female_45_64,master_phd_female_45_64,bachelor_female_65_over,master_phd_female_65_over,edu_total,edu_bachelor,edu_master,edu_phd,inc_median_household,inc_per_capita,employment_total_labor,employment_employed,employment_unemployed,housing_units_total,housing_units_occupied,housing_units_vacant,rent_median,property_value_total,property_value_median,vehicle_total_imputed,state,state_fips,county_fips,tract_fips,full_ct_fips,household_size_avg,sex_male_ratio,race_white_ratio,race_black_ratio,race_native_ratio,race_asian_ratio,travel_driving_ratio,travel_pt_ratio,travel_taxi_ratio,travel_cycle_ratio,travel_walk_ratio,travel_work_home_ratio,edu_bachelor_ratio,edu_master_ratio,edu_phd_ratio,edu_higher_edu_ratio,employment_unemployed_ratio,vehicle_per_capita,vehicle_per_household,vacancy_ratio,FIPS,car_sum,pickup,pickup_p,suv,suv_p,sedan,sedan_p,japan_p,us_p
4426,4426,1994,2432,25.9,1750,4426,2223,1807,13,199,3905,659,3246,923,294,538,668,563,71,24,165,21703,2328,1785,48,0,260,118,110,3895,205,48,25,42,29,33,22,12,468,115,10,14,74,60,47,18,2717,880,300,18,33011,19676,3898,2504,1394,2060,1750,310,825,292,145000,2328,FL,12,1,301,12001000301,2.529142857,0.450519657,0.502259376,0.408269318,0.002937189,0.044961591,0.766752577,0.020618557,0,0.111683849,0.050687285,0.047250859,0.32388664,0.1104159,0.006624954,0.440927494,0.357619292,0.525982829,1.330285714,0.150485437,12001000301,24,1,4.1667,2,8.3333,15,62.5,4.1667,0
6223,6223,2882,3341,32.9,1955,6223,3909,1038,45,307,4889,736,4153,940,818,687,1035,280,133,89,171,19846,2506,2297,0,0,0,115,94,4677,0,0,12,0,54,30,0,0,0,0,0,74,0,19,0,45,3792,66,126,0,37979,16013,4804,2792,2012,2393,1955,438,901,994,116700,2506,FL,12,5,803,12005000803,3.183120205,0.463120681,0.628153624,0.166800578,0.007231239,0.049333119,0.91660016,0,0,0,0.045889864,0.037509976,0.017405063,0.033227848,0,0.050632911,0.418817652,0.402699663,1.281841432,0.183033849,12005000803,18,2,11.1111,8,44.4444,6,33.3333,0,0
4376,4376,2235,2141,41.2,1794,4376,3351,690,30,156,3853,393,3460,496,373,634,684,580,278,107,308,30293,1995,1820,22,0,0,16,100,3750,37,0,6,28,50,13,21,6,52,12,13,19,11,33,16,11,3403,206,110,12,57321,28887,3774,2166,1608,2077,1794,283,993,1220,145600,1995,FL,12,5,805,12005000805,2.439241918,0.510740402,0.765767824,0.157678245,0.006855576,0.035648995,0.912280702,0.011027569,0,0,0.00802005,0.050125313,0.060534822,0.03232442,0.0035263,0.096385542,0.426073132,0.455895795,1.112040134,0.136254213,12005000805,22,2,9.0909,2,9.0909,8,36.3636,9.0909,9.0909
3519,3519,1707,1812,37.7,1278,3519,2598,476,23,122,2851,357,2494,464,285,413,386,429,168,46,303,27146,1541,1425,45,0,10,9,32,2702,15,0,35,25,29,36,47,41,0,7,31,0,57,38,20,21,2506,234,154,6,52711,26127,2823,1723,1100,1667,1278,389,1110,970,180500,1541,FL,12,5,806,12005000806,2.753521127,0.485080989,0.73827792,0.1352657,0.006535948,0.03466894,0.924724205,0.029201817,0,0.006489293,0.005840363,0.020765737,0.093375898,0.061452514,0.002394254,0.157222666,0.389656394,0.437908497,1.205790297,0.233353329,12005000806,6,0,0,4,66.6667,2,33.3333,0,0
8353,8353,3722,4631,38.2,3151,8353,7092,678,0,132,7116,960,6156,1052,551,874,819,914,708,177,1061,31088,4262,4139,0,0,0,50,73,6579,166,59,68,118,340,137,135,73,212,83,105,18,147,117,104,101,5607,1277,484,133,70060,31522,7039,4565,2474,3579,3151,428,1247,1945,226600,4262,FL,12,5,1404,12005001404,2.650904475,0.445588411,0.849036274,0.081168442,0,0.015802706,0.97114031,0,0,0,0.011731581,0.017128109,0.227751026,0.086320671,0.02372035,0.337792046,0.351470379,0.510235843,1.35258648,0.119586477,12005001404,6,4,66.6667,2,33.3333,0,0,0,33.3333
3943,3943,1727,2216,42.2,1815,3943,3289,478,48,17,3220,157,3063,492,310,682,662,380,265,51,221,25525,1792,1629,76,0,28,19,40,3149,12,31,14,15,53,34,44,36,67,0,43,67,29,40,86,13,2827,348,204,23,43631,24772,3187,2006,1181,2111,1815,296,1024,1049,126500,1792,FL,12,5,2300,12005002300,2.172451791,0.437991377,0.834136444,0.121227492,0.012173472,0.004311438,0.909040179,0.042410714,0,0.015625,0.010602679,0.022321429,0.123098691,0.072161302,0.008135833,0.203395826,0.370567932,0.454476287,0.987327824,0.140217906,12005002300,17,2,11.7647,9,52.9412,3,17.6471,0,23.5294
3941,3941,1848,2093,30.7,1676,3941,2820,796,0,95,3058,220,2838,623,288,828,441,336,107,36,179,20774,1953,1658,113,13,0,11,36,3015,62,0,12,0,78,0,35,49,8,48,18,15,47,12,6,14,2643,266,138,0,33462,20986,3033,2100,933,2015,1676,339,899,725,119800,1953,FL,12,5,2400,12005002400,2.351431981,0.468916519,0.715554428,0.201979193,0,0.024105557,0.848950333,0.057859703,0.006656426,0,0.00563236,0.01843318,0.100643208,0.052213394,0,0.152856602,0.307616222,0.495559503,1.165274463,0.168238213,12005002400,5,0,0,2,40,3,60,0,20
8752,8752,4300,4452,35.7,3533,8752,7824,181,55,391,6945,393,6552,1136,452,1225,996,835,752,98,1058,27372,4704,4335,0,0,23,21,206,6499,205,0,91,60,354,146,93,48,53,63,186,56,343,47,55,23,5934,1380,384,11,57198,35586,6814,5200,1614,4159,3533,626,1070,2541,205400,4704,FL,12,5,2604,12005002604,2.477214832,0.491316271,0.893967093,0.020680987,0.006284278,0.044675503,0.921556122,0,0,0.004889456,0.004464286,0.043792517,0.23255814,0.06471183,0.001853724,0.299123694,0.236865277,0.537477148,1.331446363,0.150516951,12005002604,21,3,14.2857,7,33.3333,6,28.5714,4.7619,19.0476
3186,3186,1654,1532,48.4,1237,3186,2984,10,0,73,2746,204,2542,558,67,322,309,311,246,90,639,35408,1365,1257,0,0,34,0,74,2564,50,0,68,28,116,79,141,95,42,20,72,57,106,120,74,67,2250,669,347,32,91289,54267,2678,1420,1258,2132,1237,895,1423.4,1082,351000,1365,FL,12,5,2608,12005002608,2.575586095,0.519146265,0.936597615,0.003138732,0,0.022912743,0.920879121,0,0,0.024908425,0,0.054212454,0.297333333,0.154222222,0.014222222,0.465777778,0.469753547,0.428436911,1.103476152,0.419793621,12005002608,2,1,50,0,0,0,0,0,0
8321,8321,4200,4121,45.9,2856,8321,6441,619,0,827,6705,1148,5557,888,443,582,319,713,390,206,2016,44589,3633,2852,0,0,0,0,693,6266,56,23,185,133,472,417,138,297,96,33,183,127,536,363,134,197,5725,1800,946,151,110909,52844,6602,3832,2770,3162,2856,306,2421,1975,520100,3633,FL,12,11,10601,12011010601,2.913515406,0.504747026,0.774065617,0.074390097,0,0.099387093,0.785026149,0,0,0,0,0.190751445,0.31441048,0.165240175,0.026375546,0.506026201,0.419569827,0.436606177,1.272058824,0.096774194,12011010601,4,0,0,2,50,1,25,0,0
5119,5119,2567,2552,29.3,1348,5119,2726,1809,29,107,3824,678,3146,767,317,698,672,253,263,58,118,21445,2578,2341,86,0,0,54,6,3591,5,22,0,12,37,34,0,0,33,50,0,17,32,24,19,0,2938,126,129,12,38214,16198,3709,2758,951,1495,1348,147,1490,863,163200,2578,FL,12,11,20405,12011020405,3.797477745,0.50146513,0.532525884,0.353389334,0.005665169,0.02090252,0.90806827,0.033359193,0,0,0.02094647,0.002327386,0.042886317,0.04390742,0.004084411,0.090878148,0.256403343,0.503613987,1.912462908,0.098327759,12011020405,38,6,15.7895,15,39.4737,8,21.0526,2.6316,2.6316
3230,3230,1686,1544,51.8,1545,3230,2836,288,0,34,2965,221,2744,316,280,292,281,418,424,77,656,40122,1562,1274,151,0,0,28,90,2868,63,38,25,34,85,65,81,40,54,31,62,25,140,59,123,62,2713,633,255,38,77188,50999,2881,1806,1075,1942,1545,397,1642,1004,471100,1562,FL,12,11,30902,12011030902,2.090614887,0.521981424,0.878018576,0.089164087,0,0.010526316,0.815620999,0.096670935,0,0,0.017925736,0.057618438,0.233321047,0.093991891,0.014006635,0.341319572,0.373134328,0.483591331,1.011003236,0.204428424,12011030902,33,7,21.2121,12,36.3636,10,30.303,3.0303,9.0909
4188,4188,2098,2090,35.6,1136,4188,516,3566,0,6,3312,511,2801,675,582,491,421,409,171,18,34,17215,1770,1503,185,5,0,7,38,3060,23,0,14,31,29,0,0,6,12,20,53,8,10,6,15,6,2681,156,67,0,39211,15002,3191,1994,1197,1192,1136,56,1589,749,166700,1770,FL,12,11,40902,12011040902,3.686619718,0.50095511,0.123209169,0.85148042,0,0.001432665,0.849152542,0.104519774,0.002824859,0,0.003954802,0.021468927,0.058187244,0.024990675,0,0.083177919,0.375117518,0.422636103,1.558098592,0.046979866,12011040902,38,0,0,12,31.5789,16,42.1053,2.6316,7.8947
