FIPS,car_sum,pickup,pickup_p,suv,suv_p,sedan,sedan_p,japan_p,us_p
12011110403,42,3,7.1429,12,28.5714,17,40.4762,4.7619,2.381
12011060114,22,2,9.0909,9,40.9091,7,31.8182,0,9.0909
12011060120,11,0,0,4,36.3636,3,27.2727,9.0909,0
12011040902,38,0,0,12,31.5789,16,42.1053,2.6316,7.8947
12011010601,4,0,0,2,50,1,25,0,0
12011060206,30,4,13.3333,5,16.6667,13,43.3333,3.3333,3.3333
12011070405,23,2,8.6957,9,39.1304,7,30.4348,4.3478,0
12011110321,10,0,0,2,20,7,70,10,0
12011020405,38,6,15.7895,15,39.4737,8,21.0526,2.6316,2.6316
12011042700,29,3,10.3448,7,24.1379,14,48.2759,3.4483,10.3448
12011030902,33,7,21.2121,12,36.3636,10,30.303,3.0303,9.0909
12011043100,31,0,0,8,25.8065,11,35.4839,0,3.2258
12011050900,24,5,20.8333,3,12.5,9,37.5,0,4.1667
12071000504,8,1,12.5,2,25,3,37.5,0,0
12071010601,19,3,15.7895,10,52.6316,5,26.3158,0,10.5263
12071010602,26,2,7.6923,12,46.1538,7,26.9231,0,19.2308
12085001409,11,3,27.2727,4,36.3636,1,9.0909,0,9.0909
12085001602,3,0,0,1,33.3333,2,66.6667,0,33.3333
12085000606,2,0,0,0,0,2,100,0,100
12115002724,1,0,0,0,0,0,0,0,100
12115000407,11,3,27.2727,4,36.3636,3,27.2727,9.0909,9.0909
12011060121,7,1,14.2857,2,28.5714,3,42.8571,28.5714,0
12015020103,7,1,14.2857,0,0,5,71.4286,0,14.2857
12015021001,3,2,66.6667,0,0,0,0,0,33.3333
12055980200,2,0,0,0,0,2,100,0,0
12055961301,2,0,0,0,0,0,0,0,0
12103027703,2,1,50,0,0,1,50,0,0
12103028103,20,2,10,9,45,6,30,10,5
12103028104,8,0,0,2,25,3,37.5,0,0
12103024408,28,9,32.1429,3,10.7143,10,35.7143,0,7.1429
12086000710,41,3,7.3171,10,24.3902,14,34.1463,2.439,14.6341
12086009315,37,1,2.7027,7,18.9189,20,54.0541,5.4054,10.8108
12086001605,45,7,15.5556,13,28.8889,17,37.7778,6.6667,2.2222
12086009030,19,0,0,9,47.3684,9,47.3684,0,15.7895
12086009024,18,0,0,3,16.6667,13,72.2222,0,5.5556
12086009039,4,0,0,2,50,0,0,0,25
12086008906,23,2,8.6957,9,39.1304,7,30.4348,4.3478,8.6957
12091021502,11,2,18.1818,5,45.4545,3,27.2727,0,9.0909
12091021200,1,0,0,1,100,0,0,0,0
12091021002,7,0,0,3,42.8571,4,57.1429,0,14.2857
12091022001,28,2,7.1429,4,14.2857,15,53.5714,3.5714,7.1429
12115002008,5,0,0,1,20,4,80,0,0
12105010502,14,1,7.1429,6,42.8571,4,28.5714,7.1429,0
12105015701,3,1,33.3333,0,0,1,33.3333,0,0
12071010801,7,0,0,4,57.1429,1,14.2857,0,28.5714
12071010802,14,1,7.1429,6,42.8571,4,28.5714,0,21.4286
12071010803,9,1,11.1111,3,33.3333,4,44.4444,0,22.2222
12055960602,5,1,20,0,0,1,20,0,0
12055960501,1,0,0,1,100,0,0,0,0
12086011900,9,1,11.1111,3,33.3333,4,44.4444,0,0
12086011800,21,3,14.2857,7,33.3333,9,42.8571,0,0
12055960102,1,0,0,1,100,0,0,0,0
12055960601,13,2,15.3846,4,30.7692,4,30.7692,0,0
12097042702,12,0,0,3,25,7,58.3333,0,0
12095014503,9,0,0,1,11.1111,5,55.5556,0,22.2222
12095016728,18,1,5.5556,5,27.7778,12,66.6667,0,0
12086009020,44,5,11.3636,11,25,19,43.1818,2.2727,9.0909
12086009029,26,2,7.6923,5,19.2308,14,53.8462,3.8462,3.8462
12086009031,35,1,2.8571,5,14.2857,18,51.4286,0,17.1429
12086009028,7,0,0,2,28.5714,4,57.1429,0,0
12086009314,44,4,9.0909,12,27.2727,22,50,6.8182,11.3636
12086002502,41,4,9.7561,7,17.0732,20,48.7805,2.439,4.878
12086002404,34,0,0,11,32.3529,17,50,8.8235,2.9412
12086002403,42,4,9.5238,13,30.9524,17,40.4762,2.381,2.381
12086005102,28,2,7.1429,10,35.7143,7,25,10.7143,3.5714
12021010508,3,0,0,0,0,0,0,0,0
12105010604,8,1,12.5,1,12.5,3,37.5,0,12.5
12105011834,8,2,25,2,25,3,37.5,0,0
12105010603,9,0,0,3,33.3333,2,22.2222,0,0
12105011204,11,0,0,4,36.3636,5,45.4545,0,0
12015010302,7,0,0,4,57.1429,3,42.8571,0,14.2857
12063210700,1,1,100,0,0,0,0,0,0
12063210100,1,1,100,0,0,0,0,0,0
12015030301,2,0,0,0,0,2,100,0,0
12053041302,7,1,14.2857,1,14.2857,4,57.1429,0,14.2857
12053041305,3,0,0,0,0,1,33.3333,0,0
12091023303,6,0,0,5,83.3333,1,16.6667,0,16.6667
12057012212,8,0,0,2,25,3,37.5,0,0
12057013801,4,0,0,2,50,0,0,0,0
12057006103,18,1,5.5556,3,16.6667,9,50,0,11.1111
12057011013,5,0,0,2,40,2,40,20,0
12057011520,4,1,25,2,50,1,25,0,25
12091023308,14,1,7.1429,4,28.5714,4,28.5714,0,7.1429
12103027321,6,0,0,1,16.6667,2,33.3333,16.6667,0
12103027801,10,0,0,3,30,4,40,0,0
12095017013,22,2,9.0909,5,22.7273,10,45.4545,0,0
12101030203,4,0,0,0,0,2,50,0,0
12101031902,6,1,16.6667,0,0,3,50,0,0
12101030202,12,2,16.6667,3,25,2,16.6667,0,8.3333
12086005104,32,2,6.25,7,21.875,17,53.125,0,0
12086005409,51,0,0,17,33.3333,25,49.0196,5.8824,7.8431
12086002705,9,0,0,1,11.1111,5,55.5556,0,0
12086005303,49,4,8.1633,10,20.4082,29,59.1837,8.1633,0
12086003706,25,0,0,5,20,13,52,4,12
12086003707,29,0,0,6,20.6897,22,75.8621,3.4483,0
12086006705,6,0,0,1,16.6667,2,33.3333,16.6667,0
